,Tit,Cur,Int,Cuat,Acr,Nombre,Fecha
0,GII,1,,1,ALEM,Álgebra Lineal y Estructuras Matematicas,"Martes, 24 de Enero"
1,GII,1,,1,CA,Calculo,"Jueves, 19 de Enero"
2,GII,1,,1,FP,Fundamentos de Programacion,"Miercoles, 11 de Enero"
3,GII,1,,1,FS,Fundamentos del Software,"Viernes, 13 de Enero"
4,GII,1,,1,FFT,Fundamentos Fisicos y Tecnologicos,"Martes, 17 de Enero"
5,GII,2,,1,EC,Estructura de computadores,"Lunes, 23 de Enero"
6,GII,2,,1,ED,Estructura de Datos,"Miercoles, 25 de Enero"
7,GII,2,,1,PDOO,Programacion y Diseno Orientado a Objetos,"Viernes, 20 de Enero"
8,GII,2,,1,SCD,Sistemas Concurrentes y Distribuidos,"Miercoles, 18 de Enero"
9,GII,2,,1,SO,Sistemas Operativos,"Miercoles, 11 de Enero"
10,GII,3,,1,DDSI,Diseno y Desarrollo de Sistemas de Informacion,"Viernes, 20 de Enero"
11,GII,3,,1,FR,Fundamentos de Redes,"Viernes, 13 de Enero"
12,GII,3,,1,IG,Informatica Grafica,"Martes, 24 de Enero"
13,GII,3,,1,ISE,Ingenieria de Servidores,"Miercoles, 18 de Enero"
14,GII,3,,1,MC,Modelos de Computacion,"Lunes, 16 de Enero"
15,GII,4,CSI,1,NPI,Nuevos Paradigmas de Interaccion,"Viernes, 13 de Enero"
16,GII,4,CSI,1,PL,Procesadores de Lenguajes,"Lunes, 23 de Enero"
17,GII,4,CSI,1,VC,Vision por Computador,"Martes, 17 de Enero"
18,GII,4,CSI,1,PTC,Programacion Tecnica y Cientifica,"Miercoles, 25 de Enero"
19,GII,4,CSI,1,TIC,Teoria de la Informacion y la Codificacion,"Viernes, 20 de Enero"
20,GII,4,CSI,1,SS,Simulacion de Sistemas,"Miercoles, 11 de Enero"
21,GII,4,IC,1,CPD,Centros de Procesamiento de Datos,"Viernes, 13 de Enero"
22,GII,4,IC,1,SE,Sistemas Empotrados,"Lunes, 23 de Enero"
23,GII,4,IC,1,TR,Tecnologias de Red,"Martes, 17 de Enero"
24,GII,4,IC,1,II,Informatica Industrial,"Miercoles, 11 de Enero"
25,GII,4,IC,1,TE,Tecnologias Emergentes,"Viernes, 20 de Enero"
26,GII,4,IS,1,DBA,Desarrollo Basado en Agentes,"Viernes, 13 de Enero"
27,GII,4,IS,1,DGP,Direccion y Gestion de Proyectos,"Lunes, 23 de Enero"
28,GII,4,IS,1,MDA,Metodologias de Desarrollo Ágil,"Martes, 17 de Enero"
29,GII,4,IS,1,LP,Logica y Programacion,"Miercoles, 25 de Enero"
30,GII,4,IS,1,PGV,Programacion Grafica de Videojuegos,"Miercoles, 11 de Enero"
31,GII,4,IS,1,SSO,Seguridad en Sistemas Operativos,"Viernes, 20 de Enero"
32,GII,4,SI,1,BDD,Bases de Datos Distribuidas,"Viernes, 13 de Enero"
33,GII,4,SI,1,RI,Recuperacion de  Informacion,"Lunes, 23 de Enero"
34,GII,4,SI,1,IN,Inteligencia del Negocio,"Martes, 17 de Enero"
35,GII,4,SI,1,GRD,Gestion de Recursos Digitales,"Miercoles, 25 de Enero"
36,GII,4,SI,1,RSC,Redes y Sistemas Complejos,"Miercoles, 11 de Enero"
37,GII,4,SI,1,SIG,Sistemas de Informacion Geograficos,"Viernes, 20 de Enero"
38,GII,4,TI,1,SPSI,Seguridad y Proteccion de Sistemas Informaticos,"Viernes, 13 de Enero"
39,GII,4,TI,1,DAI,Desarrollo de Aplicaciones para Internet,"Lunes, 23 de Enero"
40,GII,4,TI,1,IV,Infraestructura Virtual,"Martes, 17 de Enero"
41,GII,4,TI,1,CRIM,Compresion y Recuperacion de Informacion Multimedia,"Miercoles, 11 de Enero"
42,GII,4,TI,1,TID,Tratamiento de Imagenes Digitales,"Viernes, 20 de Enero"
43,GII,1,,1,ALEM,Álgebra Lineal y Estructuras Matematicas,"Viernes, 17 de Febrero"
44,GII,1,,1,CA,Calculo,"Miercoles, 15 de Febrero"
45,GII,1,,1,FFT,Fundamentos Fisicos y Tecnologicos,"Lunes, 13 de Febrero"
46,GII,1,,1,FP,Fundamentos de Programacion,"Martes, 7 de Febrero"
47,GII,1,,1,FS,Fundamentos del Software,"Jueves, 9 de Febrero"
48,GII,2,,1,EC,Estructura de computadores,"Lunes, 13 de Febrero"
49,GII,2,,1,ED,Estructura de Datos,"Viernes, 17 de Febrero"
50,GII,2,,1,PDOO,Programacion y Diseno Orientado a Objetos,"Martes, 14 de Febrero"
51,GII,2,,1,SCD,Sistemas Concurrentes y Distribuidos,"Viernes, 10 de Febrero"
52,GII,2,,1,SO,Sistemas Operativos,"Miercoles, 8 de Febrero"
53,GII,3,,1,DDSI,Diseno y Desarrollo de Sistemas de Informacion,"Martes, 14 de Febrero"
54,GII,3,,1,FR,Fundamentos de Redes,"Martes, 7 de Febrero"
55,GII,3,,1,IG,Informatica Grafica,"Miercoles, 15 de Febrero"
56,GII,3,,1,ISE,Ingenieria de Servidores,"Viernes, 10 de Febrero"
57,GII,3,,1,MC,Modelos de Computacion,"Miercoles, 8 de Febrero"
58,GII,4,CSI,1,NPI,Nuevos Paradigmas de Interaccion,"Jueves, 9 de Febrero"
59,GII,4,CSI,1,PL,Procesadores de Lenguajes,"Viernes, 17 de Febrero"
60,GII,4,CSI,1,VC,Vision por Computador,"Lunes, 13 de Febrero"
61,GII,4,CSI,1,PTC,Programacion Tecnica y Cientifica,"Miercoles, 15 de Febrero"
