,Tit,Cur,Int,Cuat,Acr,Nombre,Fecha
0,GIIM,1,,1,FP,Fundamentos de Programación,"Miercoles, 11 de Enero"
1,GIIM,1,,1,FS,Tecnología y Organización de Computadores,"Miercoles, 25 de Enero"
2,GIIM,1,,1,FFT,Fundamentos Físicos y Tecnológicos,"Martes, 17 de Enero"
3,GIIM,2,,1,EC,Estructura de computadores,"Lunes, 23 de Enero"
4,GIIM,2,,1,ED,Estructura de Datos,"Miercoles, 25 de Enero"
5,GIIM,2,,1,SO,Sistemas Operativos,"Miercoles, 11 de Enero"
6,GIIM,3,,1,FBD,Fundamentos de Bases de Datos,"Lunes, 23 de Enero"
7,GIIM,3,,1,SCD,Sistemas Concurrentes y Distribuidos,"Miercoles, 18 de Enero"
8,GIIM,3,,1,FR,Fundamentos de Redes,"Viernes, 13 de Enero"
9,GIIM,3,,1,MC,Modelos de Computación,"Lunes, 16 de Enero"
10,GIIM,4,,1,DDSI,Diseño y Desarrollo de Sistemas de Información,"Viernes, 20 de Enero"
11,GIIM,4,,1,IG,Informática Gráfica,"Martes, 24 de Enero"
12,GIIM,1,,1,FFT,Fundamentos Físicos y Tecnológicos,"Lunes, 13 de Febrero"
13,GIIM,1,,1,FS,Tecnología y Organización de Computadores,"Jueves, 16 de Febrero"
14,GIIM,1,,1,FP,Fundamentos de Programación,"Martes, 7 de Febrero"
15,GIIM,2,,1,EC,Estructura de computadores,"Lunes, 13 de Febrero"
16,GIIM,2,,1,ED,Estructura de Datos.,"Viernes, 17 de Febrero"
17,GIIM,2,,1,SO,Sistemas Operativos.,"Miercoles, 8 de Febrero"
18,GIIM,3,,1,MC,Modelos de Computación,"Miercoles, 8 de Febrero"
19,GIIM,3,,1,FR,Fundamentos de Redes,"Martes, 7 de Febrero"
20,GIIM,3,,1,FBD,Fundamentos de Bases de Datos,"Viernes, 17 de Febrero"
21,GIIM,3,,1,SCD,Sistemas Concurrentes y Distribuidos,"Viernes, 10 de Febrero"
22,GIIM,4,,1,DDSI,Diseño y Desarrollo de Sistemas de Información,"Martes, 14 de Febrero"
23,GIIM,4,,1,IG,Informática Gráfica,"Miercoles, 15 de Febrero"
