,Tit,Cur,Int,Cuat,Acr,Nombre,Fecha
0,GITT,1,,1,AL,Álgebra Lineal y geometría,"Martes, 24 de Enero"
1,GITT,1,,1,AC,Análisis de Circuitos,"Miercoles, 11 de Enero"
2,GITT,1,,1,AM,Análisis Matemático,"Viernes, 13 de Enero"
3,GITT,1,,1,FI,Fundamentos de Informática,"Viernes, 20 de Enero"
4,GITT,1,,1,IES,"Ingeniería, empresa y Sociedad","Martes, 17 de Enero"
5,GITT,2,,1,FP,Fundamentos de Programación,"Jueves, 19 de Enero"
6,GITT,2,,1,ST,Sistemas Telemáticos,"Jueves, 12 de Enero"
7,GITT,2,,1,TC,Teoría de la Comunicación,"Lunes, 23 de Enero"
8,GITT,2,,1,TO,Transmisión de ondas,"Lunes, 16 de Enero"
9,GITT,3,,1,C2,Comunicaciones II,"Viernes, 13 de Enero"
10,GITT,3,,1,EP,Electrónica de Potencia,"Miercoles, 11 de Enero"
11,GITT,3,,1,SC,Sistemas de conmutación,"Martes, 17 de Enero"
12,GITT,3,,1,SED,Sistemas Electrónicos Digitales,"Martes, 24 de Enero"
13,GITT,3,,1,TDRC,Transmisión de datos y redes de computadores,"Viernes, 20 de Enero"
14,GITT,4,SE,1,CIC,Circuitos Integrados para Comunicaciones,"Jueves, 19 de Enero"
15,GITT,4,SE,1,EE,Equipos Electrónicos,"Jueves, 12 de Enero"
16,GITT,4,SE,1,SC,Sistemas de Control,"Lunes, 23 de Enero"
17,GITT,4,ST,1,CO,Comunicaciones Ópticas,"Jueves, 19 de Enero"
18,GITT,4,ST,1,CI,Comunicaciones Inalámbricas,"Jueves, 12 de Enero"
19,GITT,4,ST,1,TRD,Televisión y Radio Digital,"Lunes, 23 de Enero"
20,GITT,4,T,1,DDR,Diseño y Dimensionado de Redes,"Jueves, 19 de Enero"
21,GITT,4,T,1,RAC,Redes de Acceso y Corporativas,"Jueves, 12 de Enero"
22,GITT,4,T,1,RM,Redes Multimedia,"Lunes, 23 de Enero"
23,GITT,4,,1,FF,Fundamentos de Fotónica,"Lunes, 16 de Enero"
24,GITT,4,,1,LT,Laboratorio de Telemática,"Viernes, 20 de Enero"
25,GITT,4,,1,TCI,Tecnología de Circuitos Impresos,"Martes, 24 de Enero"
26,GITT,4,,1,TH,Tecnologías del Habla,"Miercoles, 11 de Enero"
27,GITT,1,,1,AL,Álgebra Lineal y geometría,"Viernes, 17 de Febrero"
28,GITT,1,,1,AC,Análisis de Circuitos,"Miercoles, 8 de Febrero"
29,GITT,1,,1,AM,Análisis Matemático,"Viernes, 10 de Febrero"
30,GITT,1,,1,FI,Fundamentos de Informática,"Miercoles, 15 de Febrero"
31,GITT,1,,1,IES,"Ingeniería, empresa y Sociedad","Lunes, 13 de Febrero"
32,GITT,2,,1,FP,Fundamentos de Programación,"Lunes, 13 de Febrero"
33,GITT,2,,1,ST,Sistemas Telemáticos,"Martes, 7 de Febrero"
34,GITT,2,,1,TC,Teoría de la Comunicación,"Jueves, 16 de Febrero"
35,GITT,2,,1,TO,Transmisión de ondas,"Jueves, 9 de Febrero"
36,GITT,3,,1,C2,Comunicaciones II,"Viernes, 10 de Febrero"
37,GITT,3,,1,EP,Electrónica de Potencia,"Miercoles, 8 de Febrero"
38,GITT,3,,1,SC,Sistemas de conmutación,"Lunes, 13 de Febrero"
39,GITT,3,,1,SED,Sistemas Electrónicos Digitales,"Viernes, 17 de Febrero"
40,GITT,3,,1,TDRC,Transmisión de datos y redes de computadores,"Miercoles, 15 de Febrero"
41,GITT,4,SE,1,CIC,Circuitos Integrados para Comunicaciones,"Miercoles, 15 de Febrero"
42,GITT,4,SE,1,EE,Equipos Electrónicos,"Jueves, 9 de Febrero"
43,GITT,4,SE,1,SC,Sistemas de Control,"Viernes, 17 de Febrero"
44,GITT,4,ST,1,CO,Comunicaciones Ópticas,"Miercoles, 15 de Febrero"
45,GITT,4,ST,1,CI,Comunicaciones Inalámbricas,"Jueves, 9 de Febrero"
46,GITT,4,ST,1,TRD,Televisión y Radio Digital,"Viernes, 17 de Febrero"
47,GITT,4,T,1,DDR,Diseño y Dimensionado de Redes,"Miercoles, 15 de Febrero"
48,GITT,4,T,1,RAC,Redes de Acceso y Corporativas,"Jueves, 9 de Febrero"
49,GITT,4,T,1,RM,Redes Multimedia,"Viernes, 17 de Febrero"
50,GITT,4,,1,FF,Fundamentos de Fotónica,"Viernes, 10 de Febrero"
51,GITT,4,,1,LT,Laboratorio de Telemática,"Lunes, 13 de Febrero"
52,GITT,4,,1,TCI,Tecnología de Circuitos Impresos,"Jueves, 16 de Febrero"
53,GITT,4,,1,TH,Tecnologías del Habla,"Martes, 7 de Febrero"
