"Fundamentos de Programacion","Fundamentos de Programacion","FP"
"Tecnologia y Organizacion de Computadores","Tecnologia y Organizacion de Computadores","TOC"
"Fundamentos Fisicos y Tecnologicos","Fundamentos Fisicos y Tecnologicos","FFT"
"Calculo","Calculo","CA"
"Estructura de computadores","Estructura de computadores","EC"
"Estructura de Datos","Estructura de Datos","ED"
"Sistemas Operativos","Sistemas Operativos","SO"
"Fundamentos de Redes","Fundamentos de Redes","FR"
"Programacion y Diseno Orientado a Objetos","Programacion y Diseno Orientado a Objetos","PDOO"
"Sistemas Concurrentes y Distribuidos","Sistemas Concurrentes y Distribuidos","SCD"
"Modelos de Computacion","Modelos de Computacion","MC"
"Diseno y Desarrollo de Sistemas de Informacion","Diseno y Desarrollo de Sistemas de Informacion","DDSI"
"Informatica Grafica","Informatica Grafica","IG"
"Metodologia de la Programacion","Metodologia de la Programacion","MP"
"Algebra Lineal y Estructuras Matematicas","Algebra Lineal y Estructuras Matematicas","ALEM"
"Fundamentos del Software","Fundamentos del Software","FS"
"Algoritmica","Algoritmica","ALG"
"Arquitectura de Computadores","Arquitectura de Computadores","AC"
"Logica y Metodos Discretos","Logica y Metodos Discretos","LMD"
"Fundamentos de Bases de Datos","Fundamentos de Bases de Datos","FBD"
"Ingenieria de Servidores","Ingenieria de Servidores","ISE"
"Fundamentos de Ingenieria del Software","Fundamentos de Ingenieria del Software","FIS"
"Inteligencia Artificial","Inteligencia Artificial","IA"
"Álgebra Lineal y geometria","Álgebra Lineal y geometria","AL"
"Analisis de Circuitos","Analisis de Circuitos","AC"
"Analisis Matematico","Analisis Matematico","AM"
"Fundamentos de Informatica","Fundamentos de Informatica","FI"
"Ingenieria, empresa y Sociedad","Ingenieria, empresa y Sociedad","IES"
"Fundamentos de Programacion","Fundamentos de Programacion","FP"
"Sistemas Telematicos","Sistemas Telematicos","ST"
"Teoria de la Comunicacion","Teoria de la Comunicacion","TC"
"Transmision de ondas","Transmision de ondas","TO"
"Comunicaciones II","Comunicaciones II","C2"
"Electronica de Potencia","Electronica de Potencia","EP"
"Sistemas de conmutacion","Sistemas de conmutacion","SC"
"Sistemas Electronicos Digitales","Sistemas Electronicos Digitales","SED"
"Transmision de datos y redes de computadores","Transmision de datos y redes de computadores","TDRC"
"Circuitos Integrados para Comunicaciones","Circuitos Integrados para Comunicaciones","CIC"
"Equipos Electronicos","Equipos Electronicos","EE"
"Sistemas de Control","Sistemas de Control","SC"
"Comunicaciones Ópticas","Comunicaciones Ópticas","CO"
"Comunicaciones Inalambricas","Comunicaciones Inalambricas","CI"
"Television y Radio Digital","Television y Radio Digital","TRD"
"Diseno y Dimensionado de Redes","Diseno y Dimensionado de Redes","DDR"
"Redes de Acceso y Corporativas","Redes de Acceso y Corporativas","RAC"
"Redes Multimedia","Redes Multimedia","RM"
"Fundamentos de Fotonica","Fundamentos de Fotonica","FF"
"Laboratorio de Telematica","Laboratorio de Telematica","LT"
"Tecnologia de Circuitos Impresos","Tecnologia de Circuitos Impresos","TCI"
"Tecnologias del Habla","Tecnologias del Habla","TH"
"Componentes y circuitos electronicos","Componentes y circuitos electronicos","CCE"
"Ecuaciones diferencias y Caculo Numerico","Ecuaciones diferencias y Caculo Numerico","ED"
"Estadistica y Optimizacion","Estadistica y Optimizacion","EO"
"Fundamentos Fisicos de la Ingenieria","Fundamentos Fisicos de la Ingenieria","FFI"
