,Tit,Cur,Int,Cuat,Acr,Nombre,Fecha
0,Ingenieria Informatica y Administracion y Direccion de Empresas,1,,1,FP,Fundamentos de Programacion,"Miercoles, 11 de Enero"
1,Ingenieria Informatica y Administracion y Direccion de Empresas,1,,1,TOC,Tecnologia y Organizacion de Computadores,"Miercoles, 25 de Enero"
2,Ingenieria Informatica y Administracion y Direccion de Empresas,1,,1,FFT,Fundamentos Fisicos y Tecnologicos,"Martes, 17 de Enero"
3,Ingenieria Informatica y Administracion y Direccion de Empresas,1,,1,CA,Calculo,"Jueves, 19 de Enero"
4,Ingenieria Informatica y Administracion y Direccion de Empresas,2,,1,EC,Estructura de computadores,"Lunes, 23 de Enero"
5,Ingenieria Informatica y Administracion y Direccion de Empresas,2,,1,ED,Estructura de Datos,"Miercoles, 25 de Enero"
6,Ingenieria Informatica y Administracion y Direccion de Empresas,2,,1,SO,Sistemas Operativos,"Miercoles, 11 de Enero"
7,Ingenieria Informatica y Administracion y Direccion de Empresas,3,,1,FR,Fundamentos de Redes,"Viernes, 13 de Enero"
8,Ingenieria Informatica y Administracion y Direccion de Empresas,3,,1,PDOO,Programacion y Diseno Orientado a Objetos,"Viernes, 20 de Enero"
9,Ingenieria Informatica y Administracion y Direccion de Empresas,3,,1,SCD,Sistemas Concurrentes y Distribuidos,"Miercoles, 18 de Enero"
10,Ingenieria Informatica y Administracion y Direccion de Empresas,4,,1,MC,Modelos de Computacion,"Lunes, 16 de Enero"
11,Ingenieria Informatica y Administracion y Direccion de Empresas,4,,1,DDSI,Diseno y Desarrollo de Sistemas de Informacion,"Viernes, 20 de Enero"
12,Ingenieria Informatica y Administracion y Direccion de Empresas,4,,1,IG,Informatica Grafica,"Martes, 24 de Enero"
13,Ingenieria Informatica y Administracion y Direccion de Empresas,1,,1,FP,Fundamentos de Programacion,"Martes, 7 de Febrero"
14,Ingenieria Informatica y Administracion y Direccion de Empresas,1,,1,TOC,Tecnologia y Organizacion de Computadores,"Jueves, 16 de Febrero"
15,Ingenieria Informatica y Administracion y Direccion de Empresas,1,,1,FFT,Fundamentos Fisicos y Tecnologicos,"Lunes, 13 de Febrero"
16,Ingenieria Informatica y Administracion y Direccion de Empresas,1,,1,CA,Calculo,"Miercoles, 15 de Febrero"
17,Ingenieria Informatica y Administracion y Direccion de Empresas,2,,1,EC,Estructura de computadores,"Lunes, 13 de Febrero"
