,,,,"Mar
5
Jul","Mie
6
Jul","Jue
7
Jul","Vie
8
Jul","Sab
9
Jul","Lun
11
Jul","Mar
12
Jul","Mie
13
Jul","Jue
14
Jul","Vie
15
Jul"
0,2,ES,Estadística,,,,,,M,,,,
1,2,IES,"Ingeniería, Empresa y Sociedad",,,M,,,,,,,
2,2,LMD,Lógica y Métodos Discretos.,,,,,,,,,,T
3,2,MP,Metodología de la Programación.,,,,,,,,M,,
4,2,TOC,Tecnología y Organización de los Computadores.,M,,,,,,,,,
5,2,AC,Arquitectura de Computadores.,,,T,,,,,,,
6,2,ALG,Algorítmica.,,,,,,,M,,,
7,2,FBD,Fundamentos de Bases de Datos.,,,,,,,,,M,
8,2,FIS,Fundamentos de Ingeniería del Software.,,,,T,,,,,,
9,2,IA,Inteligencia Artificial,,M,,,,,,,,
10,2,AA,Aprendizaje Automático,,,M,,,,,,,
11,2,IC,Ingeniería del Conocimiento,,,,T,,,,,,
12,2,MH,Metaheurísticas,,,,,,,,T,,
13,2,MCA,Modelos de Computación Avanzada,,,,,,,,,,M
14,2,TSI,Técnicas de los Sistemas Inteligentes,T,,,,,,,,,
15,2,AS,Arquitectura de Sistemas,,,M,,,,,,,
16,2,ACAP,Arquitectura y Computación de Altas Prestaciones,,,,T,,,,,,
17,2,DHD,Desarrollo de Hardware Digital,,,,,,,,T,,
18,2,DSE,Diseño de Sistemas Electrónicos,,,,,,,,,,M
19,2,SMP,Sistemas con Microprocesadores,T,,,,,,,,,
20,2,DSD,Desarrollo de Sistemas Distribuidos,,,M,,,,,,,
21,2,DS,Desarrollo de Software,,,,T,,,,,,
22,2,DIU,Diseño de Interfaces de Usuario,,,,,,,,T,,
23,2,SIBW,Sistemas de Información Basados en Web,,,,,,,,,,M
24,2,SG,Sistemas Gráficos,T,,,,,,,,,
25,2,ABD,Administración de Bases de Datos,,,M,,,,,,,
26,2,ISI,Ingeniería de Sistemas de Información,,,,T,,,,,,
27,2,PW,Programación Web,,,,,,,,T,,
28,2,SIE,Sistemas de Información para Empresas,,,,,,,,,,M
29,2,SMD,Sistemas Multidimensionales,T,,,,,,,,,
30,2,CUIA,Computación Ubícua e Inteligencia Ambiental,,,M,,,,,,,
31,2,SWAP,Servidores Web de Altas Prestaciones,,,,T,,,,,,
32,2,SMM,Sistemas Multimedia,,,,,,,,T,,
33,2,TW,Tecnologías Web,,,,,,,,,,M
34,2,TDRC,Transmisión de Datos y Redes de Computadores,T,,,,,,,,,
